Ground Truth,Language,Comments
Positive,English,So beautiful
Positive,English,The beauty and the quality of Ricarda Lang - we can live better without both!
Positive,English,I love you  fatima
Positive,English,I want it
Positive,English,That’s the face of determination
Positive,English,fashion been beautiful  good
Positive,English,but this car is better
Positive,English,Those simple steel mags are always cool looking...even those used in LCs.
Positive,English,Dressing sense superb..all videos n dresses outclassstaying blessed u n ur all fmly ameen
Positive,English,Met him in a pub in Oxford many years ago. He was driving it. Very friendly to talk too.
Positive,English,Superb movie sam bahadur
Positive,English,Sam Bahadur is one best movie made n performed. It's should be made tax free
Positive,English,An awesome movie
Positive,English,The movie on The Field Marshal is an honour to watch…
Positive,English,May god bless him
Positive,English,I think that looks amazing!!!
Positive,English,That’s a daily for sure!!
Positive,English,One of a hundred and six
Positive,English,I'd have that
Positive,English,I love this.  Steelies should be deeper in the rear.
Positive,English,I love Sam bhadur wonderful movie ...
Positive,English,Yeah I like it
Positive,English,Still looking great
Positive,English,"Sam Bahadur is a much superior movie in terms of content,acting and direction. It deserves more views. Sadly, people enjoy sadistic pleasure and feminine mockery more."
Positive,English,lol
Positive,English,Long lives free Palestine 🇵🇸 🤲💔😢☝Allah hou Akbar ☝
Positive,English,May Allah bless
Positive,English,I’ll have one
Positive,English,"brilliant man with great taste, plays the fool and gets rich while staying humble. I'd call that a win. The Black Adder strikes again."
Positive,English,best one yet lol
Positive,English,God bless you sir
Positive,English,Best wishes
Positive,English,Happy married cermoney
Positive,English,"in this case i dont need nothing extra , its pleasure to drive it"
Positive,English,Sam Bahadur is really very good
Positive,English,Perfect
Positive,English,Looks awesome!
Positive,English,Sam is a must watch for any indian.......Animal might be a block buster but Dam bahadur is simply awesome. No comparison
Positive,English,arbaz king
Positive,English,Get well Soon Shocked to hear this
Positive,English,Love you Daniyal Bhai
Positive,English,Wao sooooooooo nice very beautiful
Positive,English,It actually is very attractive
Positive,English,"Look at those tires! You can really tell how much he enjoys driving it  such a beautiful car, would love to own a a LM version one day but there’s so few"
Positive,English,Always loved this!
Positive,English,AND CUTE
Positive,English,"Top bloke, great driver"
Positive,English,Finally shahdi hu rahi
Positive,English,So beautiful so wow
Positive,English,Best comedian of all time.
Positive,English,Bean is a world class driver. He literally has raced for decades.
Positive,English,That is just beautiful. Simple. Functional. Affordable. I would drive that in a heartbeat.
Positive,English,Mashallah sister
Positive,English,Is much more worth watching Sam Bahadur  what a personality he is in the movie
Positive,English,The best
Positive,English,Very nice to like me look❤️❤️
Positive,English,Love
Positive,English,Well done Ma'am keep it up
Positive,English,Get well soon brother
Positive,English,Get well soon bro
Positive,English,"Met him a few times,  very knowledgeable about the world  ,nice guy"
Positive,English,My favourite teacher...
Positive,English,He's so handsome
Positive,English,The best McLaren ever !
Positive,English,Good day bro
Positive,English,Gorgeous!!!
Positive,English,Sam bahadur is a must watch
Positive,English,Vicky kaushal is the best
Positive,English,Bonito. Beautiful.
Positive,English,Awesome
Positive,English,Absolutely love the vibe!
Positive,English,Your right son kush raho.
Positive,English,Make it a 6 speed and I'll commute In it.
Positive,English,Brilliant acting by Vicky Kaushal..
Positive,English,Such an iconic piece of machinery. That BMW V12 could sing
Positive,English,"I love this , looks timeless"
Positive,English,I love it
Positive,English,Top
Positive,English,Masha Allah
Positive,English,Perfect for car rental
Positive,English,Sam Bahadur is a nice movie and stellar performance from Vicky Kaushal and can be watched with family.
Positive,English,Beautiful
Positive,English,Sam bahadur is best
Positive,English,God bless him
Positive,English,I have never loved a car than i love the McLaren F1.
Positive,English,May god bless you
Positive,English,"I have watched both the movies, Sam Bahadur is much much better movie.Must watch with a family."
Positive,English,Sam Bahadur is best to movie
Positive,English,Was laughed at as a young boy now who's laughing? Great actor barrels of laugh !
Positive,English,Great Man
Positive,English,Good bless you
Positive,English,Animal is best movie n food
Positive,English,So beautiful sisters Allah bless you
Positive,English,Get well  soon
Positive,English,"Sam Bahadur is not a mere film. It's like every Indian's heartbeat now. From whatever little we've seen about the legendary Sam Manekshaw in youtube and other media, we can say, Vicky Kaushal brought the best moments of his life in the silverscreen spectacularly. A more than make believe experience indeed!"
Positive,English,Nice dress
Positive,English,Big fan
Positive,English,God bless u
Positive,English,More young Indian should see Sam Bahadur. 1971 war strategy can be adopted in corporate world... plan and work towards it... timing is important.
Positive,English,beautiful
Positive,Roman Urdu,Green color boht suit kr rah h mashallah 🥰
Positive,Roman Urdu,Baat kch hadd tk to sahi hi lagi bhai ki
Positive,Roman Urdu,kml 🔥♥️
Positive,Roman Urdu,MASHA ALLAH.
Positive,Roman Urdu,Baat sahe bol rahe ho bhai maine ye expirence keya hai
